state,date,price,rent,interest_rate,cp_index,inflation,total_pops,unemployed_pct
AK,2009-12-01,236975.00617419355,1023.2874642003444,0.12,215.949,-0.1761198169463296,514467.0,8.4
AK,2010-01-01,235804.24395333335,1026.2800983773486,0.11,216.687,0.34174735701484327,514628.0,8.4
AK,2010-02-01,237664.4867483871,1029.2727325543674,0.13,216.741,0.024920738207656612,514760.0,8.4
AK,2010-03-01,237921.40980645161,1031.9757569723151,0.16,217.631,0.4106283536571276,514896.0,8.4
AK,2010-04-01,238167.5901354839,1034.9683911493194,0.2,218.009,0.1736884910697345,515851.0,8.3
AK,2010-05-01,238347.38,1037.8644887399714,0.2,218.178,0.0775197354237811,516810.0,8.2
AK,2010-06-01,238807.5519548387,1040.8571229169902,0.18,217.965,-0.09762670846739097,517816.0,8.0
AK,2010-07-01,239091.56298709678,1043.7532205076423,0.18,218.011,0.02110430573716293,518874.0,7.9
AK,2010-08-01,239317.03223870965,1046.7458546846465,0.19,218.312,0.13806642784079948,519938.0,7.9
AK,2010-09-01,239556.7714612903,1049.7384888616652,0.19,218.439,0.058173623071566816,520706.0,8.0
AK,2010-10-01,239679.27818064514,1052.6345864523173,0.19,218.711,0.12451988884769616,521665.0,8.0
AK,2010-11-01,239537.79736129032,1055.6272206293215,0.19,218.803,0.04206464238194485,522685.0,8.1
AK,2010-12-01,239105.64190000002,1058.5233182199881,0.18,219.179,0.1718440789203024,523689.0,8.0
AK,2011-01-01,238778.18206451612,1061.5159523969924,0.17,220.223,0.47632300539741657,524423.0,8.0
AK,2011-02-01,238588.71931290324,1064.5085865739966,0.16,221.309,0.49313650254514396,525057.0,7.9
AK,2011-03-01,238354.64741612904,1067.2116109919443,0.14,223.467,0.97510720305094,525998.0,7.8
AK,2011-04-01,237974.9065032258,1070.204245168963,0.1,224.906,0.6439429535457064,526677.0,7.8
AK,2011-05-01,237399.19128709676,1073.1003427596152,0.09,225.964,0.4704187527233561,527433.0,7.7
AK,2011-06-01,237001.6673032258,1076.0929769366194,0.09,225.722,-0.10709670566992902,528424.0,7.7
AK,2011-07-01,240504.301478125,1078.9890745272714,0.07,225.922,0.08860456667936223,529293.0,7.7
AK,2011-08-01,240487.79610625,1081.9817087042902,0.1,226.545,0.27575889023645495,529932.0,7.7
AK,2011-09-01,240490.346625,1084.9743428812944,0.08,226.889,0.15184621156945077,530484.0,7.7
AK,2011-10-01,240245.309609375,1087.8704404719465,0.07,226.421,-0.20626826333582926,531239.0,7.7
AK,2011-11-01,240030.53978124997,1090.8630746489653,0.08,226.23,-0.08435613304419443,531683.0,7.6
AK,2011-12-01,239898.76791875,1093.7591722396173,0.07,225.672,-0.24665163771382392,532076.0,7.5
AK,2012-01-01,240062.459803125,1096.7518064166215,0.08,226.665,0.44001914282676413,532472.0,7.5
AK,2012-02-01,230147.1999025641,1099.7444405936403,0.1,227.663,0.4402973551276279,533089.0,7.4
AK,2012-03-01,230597.39898974358,1102.5440015979402,0.13,229.392,0.7594558623930991,533381.0,7.4
AK,2012-04-01,230989.56925526317,1105.5366357749444,0.14,230.085,0.30210295040804525,533893.0,7.3
AK,2012-05-01,231605.6930868421,1108.432733365611,0.16,229.815,-0.11734793663211729,534483.0,7.3
AK,2012-06-01,234666.84404864867,1111.4253675426153,0.16,229.478,-0.14663968844504938,535035.0,7.3
AK,2012-07-01,234199.92200789473,1114.3214651332673,0.16,229.104,-0.16297858618254946,535584.0,7.2
AK,2012-08-01,235562.45443421052,1117.314099310286,0.13,230.379,0.5565158181437102,535878.0,7.2
AK,2012-09-01,236786.37406666667,1120.3067334872903,0.14,231.407,0.4462212267611232,536044.0,7.1
AK,2012-10-01,237529.22157179486,1123.2028310779424,0.16,231.317,-0.038892514055322014,536291.0,7.1
AK,2012-11-01,238314.47665641026,1126.1954652549612,0.16,230.221,-0.473808669488196,536679.0,7.1
AK,2012-12-01,237206.9448875,1129.0915628456132,0.16,229.601,-0.2693064490207231,537018.0,7.1
AK,2013-01-01,238107.5466525,1132.0841970226174,0.14,230.28,0.2957304192926058,537343.0,7.1
AK,2013-02-01,238219.9124625,1135.0768311996362,0.15,232.166,0.8190029529268728,537489.0,7.0
AK,2013-03-01,237757.8356675,1137.7798556175694,0.14,232.773,0.26145085843749527,537668.0,7.0
AK,2013-04-01,237156.48313,1140.7724897945882,0.15,232.531,-0.10396394770870732,537746.0,7.0
AK,2013-05-01,237266.17208999998,1143.6685873852402,0.11,232.945,0.17804077735872337,538284.0,7.0
